x1,y1,,x2,y2,,x3,y3,,x4,y4,,x5,y5,,x6,y6,,x7,y7,,x8,y8,,x9,y9,,x10,y10,,x11,y11,,x12,y12
38.94274196,174.5113,,38.95609749,145.7633,,38.9891026,192.456,,38.98136722,199.2192,,38.96917635,145.765,,38.9349072,200.2613,,38.98886292,312.4847,,38.9373717,238.652,,38.98654092,311.106,,38.96635366,230.4301,,38.89368167,216.6336,,38.88263102,217.7118
39.9412738,173.977,,39.95497178,145.2493,,39.98882318,191.5252,,39.98088946,198.3609,,39.968386,145.2862,,39.93323815,200.0875,,39.98857735,311.8192,,39.93576585,237.8252,,39.98619582,310.6107,,39.96549093,229.8009,,39.89095556,216.1598,,39.87962156,217.1281
40.93980565,173.5465,,40.95384608,144.4658,,40.98854376,190.7215,,40.98041169,197.8608,,40.96759565,144.8,,40.9315691,199.7974,,40.98829178,311.1517,,40.93416,236.9278,,40.98585071,310.0946,,40.96462821,229.2079,,40.88822945,215.6799,,40.8766121,216.5119
41.93833749,173.2001,,41.95272037,143.7051,,41.98826434,190.008,,41.97993393,197.6378,,41.9668053,144.3031,,41.92990006,199.374,,41.98800622,310.5055,,41.93255414,235.8069,,41.98550561,309.6086,,41.96376548,228.6118,,41.88550334,215.155,,41.87360264,215.8198
42.93686934,172.8685,,42.95159467,143.1527,,42.98798492,189.3035,,42.97945617,197.5504,,42.96601495,143.7963,,42.92823101,198.9288,,42.98772065,309.9325,,42.93094829,234.5973,,42.9851605,309.279,,42.96290275,228.042,,42.88277723,214.745,,42.87059318,215.2443
43.93540119,172.5223,,43.95046896,142.9643,,43.9877055,188.7311,,43.9789784,197.5146,,43.9652246,143.2662,,43.92656197,198.5403,,43.98743509,309.3439,,43.92934243,233.4551,,43.9848154,309.1252,,43.96204002,227.5025,,43.88005112,214.3935,,43.86758372,214.7712
44.93393303,172.1579,,44.94934325,142.9689,,44.98742608,188.1618,,44.97850063,197.4689,,44.96443426,142.5913,,44.92489292,198.2727,,44.98714952,308.701,,44.92773658,232.697,,44.98447029,309.0908,,44.9611773,227.0077,,44.87732501,213.861,,44.86457426,214.2513
45.93246488,171.7628,,45.94821755,143.0502,,45.98714666,187.4476,,45.97802287,197.391,,45.9636439,141.7608,,45.92322387,197.9004,,45.98686395,307.9114,,45.92613073,232.2802,,45.98412519,309.0482,,45.96031457,226.6382,,45.8745989,213.2035,,45.8615648,213.6711
46.93099672,171.3325,,46.94709184,143.1098,,46.98686724,186.6749,,46.97754511,197.2302,,46.96285355,140.8699,,46.92155483,197.4871,,46.98657838,307.0649,,46.92452487,232.127,,46.98378008,308.8846,,46.95945184,226.2965,,46.87187279,212.7389,,46.85855534,213.1021
47.92952857,170.872,,47.94596614,143.006,,47.98658782,185.9287,,47.97706734,196.9885,,47.96206321,140.0001,,47.91988578,196.9248,,47.98629282,306.246,,47.92291902,232.0683,,47.98343498,308.6665,,47.95858912,225.9195,,47.86914667,212.4373,,47.85554588,212.4971
48.92806041,170.4207,,48.94484043,142.6822,,48.9863084,185.2753,,48.97658958,196.3541,,48.96127286,139.284,,48.91821674,196.3124,,48.98600725,305.5724,,48.92131317,232.0357,,48.98308988,308.2776,,48.95772639,225.533,,48.86642056,212.104,,48.85253642,211.9314
49.92659226,169.9977,,49.94371473,142.2716,,49.98602898,184.6296,,49.97611182,195.5167,,49.96048251,138.6177,,49.91654769,195.7073,,49.98572169,305.1375,,49.91970731,231.9948,,49.98274477,307.6432,,49.95686366,225.0421,,49.86369445,211.7161,,49.84952696,211.4366
50.9251241,169.5694,,50.94258902,141.7808,,50.98574956,183.9443,,50.97563405,194.4996,,50.95969216,137.8717,,50.91487864,195.1067,,50.98543612,304.8618,,50.91810146,231.9464,,50.98239967,306.7965,,50.95600094,224.4638,,50.86096834,211.1919,,50.84651749,210.925
51.92365595,169.133,,51.94146331,141.3525,,51.98547014,183.2516,,51.97515629,193.6118,,51.95890181,136.9605,,51.9132096,194.5214,,51.98515055,304.5499,,51.9164956,231.9046,,51.98205456,305.9827,,51.95513821,223.8994,,51.85824223,210.4622,,51.84350803,210.4264
52.92218779,168.6956,,52.94033761,141.0748,,52.98519071,182.4393,,52.97467853,192.7899,,52.95811146,135.7859,,52.91154055,193.8405,,52.98486499,304.1039,,52.91488975,231.4937,,52.98170946,305.353,,52.95427548,223.5309,,52.85551612,209.621,,52.84049857,209.9993
53.92071964,168.208,,53.93921191,140.9232,,53.9849113,181.2651,,53.97420076,192.0028,,53.95732111,134.3895,,53.9098715,193.15,,53.98457942,303.5016,,53.9132839,230.9134,,53.98136435,304.6034,,53.95341275,223.4422,,53.85279001,208.9776,,53.83748911,209.7169
54.91925148,167.6488,,54.9380862,140.7812,,54.98463188,180.1213,,54.973723,191.009,,54.95653076,133.3604,,54.90820246,192.5022,,54.98429386,302.6698,,54.91167804,230.2198,,54.98101925,303.9302,,54.95255003,223.3285,,54.8500639,208.4404,,54.83447965,209.4863
55.91778333,167.1048,,55.93696049,140.6619,,55.98435245,179.2751,,55.97324524,190.0435,,55.95574041,132.8464,,55.90653341,191.8945,,55.98400829,301.8336,,55.91007219,229.3434,,55.98067414,303.2693,,55.9516873,222.9867,,55.84733779,207.7876,,55.83147019,209.2173
56.91631517,166.6222,,56.93583479,140.5036,,56.98407303,178.4807,,56.97276747,189.2719,,56.95495006,132.6259,,56.90486437,191.3416,,56.98372272,300.9823,,56.90846633,228.1525,,56.98032904,302.6249,,56.95082458,222.4399,,56.84461168,206.9418,,56.82846073,208.8188
57.91484702,166.1803,,57.93470908,140.0933,,57.98379361,177.9284,,57.97228971,188.6011,,57.95415971,132.4559,,57.90319532,190.7514,,57.98343716,300.1043,,57.90686049,227.0569,,57.97998393,301.9253,,57.94996185,222.0388,,57.84188557,205.9824,,57.82545127,208.2298
58.91337886,165.8165,,58.93358338,139.4498,,58.98351419,177.629,,58.97181194,187.8246,,58.95336936,132.3002,,58.90152627,189.8634,,58.98315159,299.2001,,58.90525463,226.1543,,58.97963883,301.1796,,58.94909912,221.5985,,58.83915946,205.0289,,58.82244181,207.6605
59.91191071,165.5111,,59.93245767,138.7643,,59.98323477,177.4891,,59.97133418,186.9788,,59.95257901,131.9656,,59.89985723,189.1687,,59.98286602,298.4787,,59.90364878,225.3078,,59.97929372,300.562,,59.94823639,221.1808,,59.83643334,204.0932,,59.81943235,207.1761
60.91044255,165.2171,,60.93133197,138.0771,,60.98295535,177.2538,,60.97085642,186.1583,,60.95178866,131.3522,,60.89818818,188.7373,,60.98258046,297.9568,,60.90204292,224.4919,,60.97894862,299.8728,,60.94737367,220.7965,,60.83370723,203.4125,,60.81642288,206.7293
61.9089744,164.9475,,61.93020626,137.3197,,61.98267593,176.8667,,61.97037865,185.3326,,61.95099831,130.5853,,61.89651913,188.3515,,61.98229489,297.3483,,61.90043707,223.6702,,61.97860351,299.1605,,61.94651094,220.3845,,61.83098112,202.9859,,61.81341342,206.1796
62.90750624,164.6489,,62.92908056,136.3232,,62.98239651,176.2463,,62.96990089,184.4013,,62.95020796,129.7809,,62.89485009,188.1724,,62.98200933,296.6947,,62.89883122,222.8755,,62.97825841,298.6053,,62.94564822,219.9883,,62.82825501,202.7732,,62.81040396,205.4814
63.90603809,164.2386,,63.92795485,135.2798,,63.98211709,175.4766,,63.96942313,183.4347,,63.94941761,128.8806,,63.89318105,188.2368,,63.98172376,296.0252,,63.89722536,222.0105,,63.97791331,298.153,,63.94478549,219.6073,,63.8255289,202.6495,,63.8073945,204.8845
64.90456993,163.7241,,64.92682914,134.2364,,64.98183767,174.6433,,64.96894536,182.4494,,64.94862726,127.8705,,64.891512,188.2468,,64.98143819,295.3687,,64.89561951,221.1199,,64.9775682,297.5154,,64.94392276,219.2502,,64.82280279,202.4639,,64.80438504,204.2934
65.90310178,163.208,,65.92570344,133.2311,,65.98155825,173.7897,,65.9684676,181.5586,,65.94783691,126.869,,65.88984295,188.2511,,65.98115263,294.7299,,65.89401365,220.0518,,65.9772231,296.7334,,65.94306003,218.8398,,65.82007668,202.0427,,65.80137558,203.853
66.90163362,162.7272,,66.92457773,132.2443,,66.98127883,173.0369,,66.96798983,180.7732,,66.94704656,125.9098,,66.88817391,188.1828,,66.98086706,294.1406,,66.8924078,219.1536,,66.97687799,296.128,,66.94219731,218.5696,,66.81735057,201.37,,66.79836612,203.5548
67.90016547,162.2167,,67.92345203,131.109,,67.98099941,172.2862,,67.96751207,180.0206,,67.94625621,125.0734,,67.88650486,188.042,,67.98058149,293.5141,,67.89080195,218.3276,,67.97653289,295.4473,,67.94133458,218.4036,,67.81462446,200.6606,,67.79535666,203.294
68.89869731,161.6717,,68.92232632,129.9817,,68.98071999,171.5501,,68.96703431,179.1998,,68.94546586,124.2809,,68.88483581,187.8461,,68.98029593,292.6632,,68.88919609,217.5284,,68.97618778,294.7542,,68.94047186,218.2768,,68.81189834,199.9246,,68.7923472,202.9185
69.89722916,161.1147,,69.92120062,128.9632,,69.98044057,170.856,,69.96655655,178.2237,,69.94467551,123.4641,,69.88316677,187.4492,,69.98001036,291.6424,,69.88759024,216.6566,,69.97584268,293.9732,,69.93960913,218.1999,,69.80917223,199.2148,,69.78933774,202.5625
70.895761,160.5851,,70.92007491,128.037,,70.98016115,170.2174,,70.96607878,177.2242,,70.94388516,122.6211,,70.88149772,186.9995,,70.97972479,290.5722,,70.88598438,215.8444,,70.97549757,293.2863,,70.9387464,218.1487,,70.80644612,198.4722,,70.78632828,202.2736
71.89429285,160.1542,,71.91894921,127.1358,,71.97988173,169.5419,,71.96560102,176.1916,,71.94309481,121.6295,,71.87982867,186.4994,,71.97943923,289.6494,,71.88437853,215.1333,,71.97515247,292.6177,,71.93788368,218.2026,,71.80372001,197.5924,,71.78331881,201.9717
72.89282469,159.8342,,72.9178235,126.1219,,72.97960231,168.7975,,72.96512326,175.263,,72.94230446,120.5116,,72.87815963,186.1437,,72.97915366,288.7604,,72.88277268,214.444,,72.97480737,291.8388,,72.93702095,218.3255,,72.8009939,196.7448,,72.78030935,201.5943
73.89135654,159.5625,,73.9166978,124.8493,,73.97932289,167.9966,,73.96464549,174.3777,,73.94151411,119.4758,,73.87649058,185.8857,,73.97886809,287.9397,,73.88116682,213.6903,,73.97446226,290.7486,,73.93615822,218.1051,,73.79826779,196.0098,,73.77729989,201.2412
74.88988838,159.2791,,74.9155721,123.923,,74.97904347,167.194,,74.96416773,173.5643,,74.94072376,118.853,,74.87482153,185.5913,,74.97858253,287.4149,,74.87956097,212.7732,,74.97411715,289.6256,,74.93529549,217.763,,74.79554168,195.3413,,74.77429044,201.0318
75.88842023,158.983,,75.91444639,123.1433,,75.97876405,166.4338,,75.96368997,172.7101,,75.93993341,118.4442,,75.87315249,185.2055,,75.97829696,287.2725,,75.87795512,211.7488,,75.97377205,288.4838,,75.93443277,217.4588,,75.79281557,194.7681,,75.77128097,200.8399
